DATE,VEHICLE,VIN,ROAD,LATITUDE,LONGITUDE,RECORDING FILE,DESCRIPTION
02/14/2023,Bravo,1N4AZ1CP7KC308251,Highway,37.3770825423,-121.989988134,02142023_114608.gif,Pedestrians crossed into streetnvojijkkkkkkkkkkkkkkkkkkkkkkkkjjjjjjj
02/14/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3831958798,-121.99129351,02142023_114849.gif,Software crash
02/14/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3869082221,-121.997535471,02142023_115218.gif,AV cannot handle yield
02/14/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3879290288,-121.998668078,02142023_115234.gif,Ended test for today!
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.3886439766,-122.000384416,02142023_115616.gif,gps lock was not successfull
02/14/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3867723377,-121.997159195,02142023_115655.gif,AV was in middle lane and driver felt unsafe.
02/14/2023,Bravo,1N4AZ1CP7KC308251,Highway,37.3867816513,-121.9962364,02142023_115846.gif,AV did not detect traffic light
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.3855164332,-121.993469857,02142023_115925.gif,AV path veered into opposing traffic due to software malfunction
02/14/2023,Bravo,1N4AZ1CP7KC308251,Highway,37.3808408287,-121.99341856,02142023_120000.gif,AV did not stop at stop sign
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.3804110069,-121.988553542,02142023_120037.gif,AV did not stop for traffic light
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.378605996,-121.987978456,02142023_120102.gif,AV speed increased beyond legal speed limit
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.3773093919,-121.987971582,02142023_120215.gif,AV did not see traffic light
02/14/2023,Bravo,1N4AZ1CP7KC308251,Highway,37.3773009537,-121.990749999,02142023_120311.gif,AV does not have the ability to backup
02/14/2023,Bravo,1N4AZ1CP7KC308251,,37.3773007089,-121.99061125,02142023_120330.gif,AV test has ended
02/15/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3729138998,-121.985685236,02152023_153946.gif,started test
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3740667945,-121.978542825,02152023_154537.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3726913803,-121.974790657,02152023_154655.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,Highway,37.3694770864,-121.967824253,02152023_154737.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3694980167,-121.966030526,02152023_154931.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3748510917,-121.965680558,02152023_155012.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,Street,37.3747094233,-121.963327825,02152023_155047.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3748695813,-121.976091065,02152023_155144.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3770361704,-121.979345965,02152023_155237.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3777792112,-121.985481398,02152023_155310.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3777388593,-121.987259144,02152023_155343.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3771079066,-121.99070929,02152023_155510.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3769600751,-121.990581529,02152023_162911.gif,
02/15/2023,Bravo,1N4AZ1CP7KC308251,,37.3769610823,-121.990582519,02152023_163201.gif,
